"Run","A","B","C","D","E","F","G","H","J","Y"
1,"-","-","-","-","-","-","-","-","-",136.475
2,"+","+","-","+","+","-","-","-","-",147.775
3,"+","-","-","+","-","-","+","+","-",142.425
4,"+","-","+","+","+","-","+","+","+",141.8
5,"+","+","+","+","-","-","-","-","+",136.675
6,"-","+","-","-","+","-","+","+","-",150.725
7,"-","+","+","-","-","-","+","+","+",142.8
8,"-","-","+","-","+","-","-","-","+",135.825
9,"+","+","+","-","-","+","-","+","-",143.476
10,"-","+","-","+","+","+","+","-","+",145.15
11,"+","-","+","-","+","+","+","-","-",142.6
12,"-","-","-","+","-","+","-","+","+",139.375
13,"+","+","-","-","+","+","-","+","+",139.65
14,"+","-","-","-","-","+","+","-","+",144.775
15,"-","-","+","+","+","+","-","+","-",148.275
16,"-","+","+","+","-","+","+","-","-",141.075
